Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,7700.00,7700.00
16-01-19,Deposit,,50.00,7750.00
16-02-19,Deposit,,50.00,7800.00
16-03-19,Deposit,,50.00,7850.00
16-04-19,Deposit,,50.00,7900.00
16-05-19,Deposit,,50.00,7950.00
16-06-19,Deposit,,50.00,8000.00
16-07-19,Deposit,,50.00,8050.00
16-08-19,Deposit,,50.00,8100.00
16-09-19,Deposit,,50.00,8150.00
16-10-19,Deposit,,50.00,8200.00
16-11-19,Deposit,,50.00,8250.00
16-12-19,Deposit,,50.00,8300.00
28-12-19,WIN (22.5% APR),,1708.71,10008.71
