Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,300.00,300.00
16-01-19,Deposit,,50.00,350.00
16-02-19,Deposit,,50.00,400.00
16-03-19,Deposit,,50.00,450.00
16-04-19,Deposit,,50.00,500.00
16-05-19,Deposit,,50.00,550.00
16-06-19,Deposit,,50.00,600.00
16-07-19,Deposit,,50.00,650.00
16-08-19,Deposit,,50.00,700.00
16-09-19,Deposit,,50.00,750.00
16-10-19,Deposit,,50.00,800.00
16-11-19,Deposit,,50.00,850.00
16-12-19,Deposit,,50.00,900.00
28-12-19,WIN (22.5% APR),,130.38,1030.38
